state,clinton_win,trump_win,others,abbr,win
Alabama,34.6,62.9,2.5,AL,trump
Alaska,37.7,52.9,9.4,AK,trump
Arizona,45.4,49.5,5.1,AZ,trump
Arkansas,33.8,60.4,5.8,AR,trump
California,61.6,32.8,5.6,CA,clinton
Colorado,47.2,44.4,8.4,CO,clinton
Connecticut,54.5,41.2,4.3,CT,clinton
Delaware,53.4,41.9,4.7,DE,clinton
District of Columbia,92.8,4.1,3.1,DC,clinton
Florida,47.8,49.1,3.1,FL,trump
Georgia,45.6,51.3,3.1,GA,trump
Hawaii,62.3,30.1,7.6,HI,clinton
Idaho,27.6,59.2,13.2,ID,trump
Illinois,55.4,39.4,5.2,IL,clinton
Indiana,37.9,57.2,4.9,IN,trump
Iowa,42.2,51.8,6,IA,trump
Kansas,36.2,57.2,6.6,KS,trump
Kentucky,32.7,62.5,4.8,KY,trump
Louisiana,38.4,58.1,3.5,LA,trump
Maine,47.9,45.2,6.9,ME,clinton
Maryland,60.5,35.3,4.2,MD,clinton
Massachusetts,60.8,33.5,5.7,MA,clinton
Michigan,47.3,47.6,5.1,MI,trump
Minnesota,46.9,45.4,7.7,MN,clinton
Mississippi,39.7,58.3,2,MS,trump
Missouri,38,57.1,4.9,MO,trump
Montana,36,56.5,7.5,MT,trump
Nebraska,34,60.3,5.7,NE,trump
Nevada,47.9,45.5,6.6,NV,clinton
New Hampshire,47.6,47.2,5.2,NH,clinton
New Jersey,55,41.8,3.2,NJ,clinton
New Mexico,48.3,40,11.7,NM,clinton
New York,58.8,37.5,3.7,NY,clinton
North Carolina,46.7,50.5,2.8,NC,trump
North Dakota,27.8,64.1,8.1,ND,trump
Ohio,43.5,52.1,4.4,OH,trump
Oklahoma,28.9,65.3,5.8,OK,trump
Oregon,51.7,41.1,7.2,OR,clinton
Pennsylvania,47.6,48.8,3.6,PA,trump
Rhode Island,55.4,39.8,4.8,RI,clinton
South Carolina,40.8,54.9,4.3,SC,trump
South Dakota,31.7,61.5,6.8,SD,trump
Tennessee,34.9,61.1,4,TN,trump
Texas,43.4,52.6,4,TX,trump
Utah,27.8,45.9,26.3,UT,trump
Vermont,61.1,32.6,6.3,VT,clinton
Virginia,49.9,45,5.1,VA,clinton
Washington,54.4,38.2,7.4,WA,clinton
West Virginia,26.5,68.7,4.8,WV,trump
Wisconsin,46.9,47.9,5.2,WI,trump
Wyoming,22.5,70.1,7.4,WY,trump
